t_id,probability
27439,0.519907534122467
17696,0.4611048698425293
32543,0.5168496370315552
7905,0.5259760022163391
16752,0.5222640037536621
31745,0.5076642632484436
12036,0.5113356113433838
7795,0.47642287611961365
26578,0.49954038858413696
14774,0.4928865134716034
7959,0.4944525957107544
10232,0.5094682574272156
20647,0.46462345123291016
26753,0.46737951040267944
12092,0.4948919117450714
25798,0.43784821033477783
21994,0.5006603002548218
17685,0.5110967755317688
30117,0.5249476432800293
7155,0.48909857869148254
19959,0.5319991111755371
16120,0.4063248336315155
7940,0.4876166582107544
18632,0.5016202926635742
6438,0.5325729846954346
5303,0.49559691548347473
31375,0.513042688369751
9323,0.5127703547477722
3372,0.4894144535064697
3876,0.5086345076560974
18005,0.5224708318710327
7560,0.4931778609752655
31838,0.4738985002040863
27160,0.4959690272808075
24096,0.46654585003852844
28325,0.47438597679138184
9655,0.509337306022644
2506,0.49144360423088074
26993,0.4894876182079315
32003,0.4880039393901825
6547,0.4978457987308502
18196,0.5249291062355042
21601,0.5003175735473633
15810,0.5370674729347229
34167,0.4738822281360626
29283,0.4675467014312744
22643,0.5212317705154419
3824,0.5453686118125916
26078,0.5111936330795288
16092,0.5187021493911743
13701,0.5302973985671997
3441,0.5012412071228027
9533,0.493289053440094
21072,0.4992884397506714
27371,0.5107695460319519
24803,0.5116817951202393
11908,0.5378777980804443
32020,0.5195989608764648
7558,0.5224942564964294
22812,0.4985825717449188
21585,0.49190977215766907
23835,0.43389156460762024
7551,0.4983856976032257
30628,0.5254652500152588
28528,0.5205674171447754
9983,0.5391055941581726
30502,0.49994438886642456
20041,0.5125994086265564
3992,0.5237594842910767
30330,0.49956002831459045
25465,0.48507562279701233
23272,0.49390342831611633
32383,0.5341679453849792
1337,0.49947473406791687
35065,0.5298972725868225
28362,0.4990353286266327
31583,0.5205962657928467
33468,0.4690988063812256
28278,0.49555274844169617
25151,0.49461913108825684
31447,0.5000334978103638
4535,0.49256300926208496
15975,0.44714823365211487
22702,0.5061755180358887
32533,0.4256822168827057
13295,0.4798484444618225
24342,0.5225194692611694
13985,0.5110337138175964
3621,0.5281088948249817
35897,0.5173921585083008
33517,0.5453374981880188
27838,0.4850945472717285
32469,0.5405340790748596
21428,0.5392850041389465
35998,0.41492998600006104
22170,0.5019636154174805
25298,0.5162146091461182
30777,0.5530036687850952
17209,0.53883957862854
17698,0.534277081489563
20254,0.49239566922187805
8378,0.5296886563301086
20204,0.5005418062210083
1515,0.48251810669898987
35133,0.5110488533973694
12808,0.5099399089813232
161,0.5137771964073181
34755,0.4936438202857971
13451,0.493396520614624
31681,0.5103728175163269
4856,0.5231475830078125
22467,0.514599084854126
27232,0.47906750440597534
28141,0.504231870174408
6830,0.49321115016937256
18707,0.5311139225959778
10431,0.5056229829788208
2007,0.5107143521308899
26742,0.5405649542808533
12598,0.4840753674507141
9179,0.49117517471313477
9340,0.47143813967704773
13694,0.47958409786224365
4517,0.5298261642456055
19150,0.5162930488586426
30812,0.47009339928627014
26377,0.5164056420326233
27436,0.48669883608818054
15443,0.5024704337120056
13619,0.47126737236976624
33920,0.5341958403587341
27129,0.4823282063007355
9721,0.475157231092453
2576,0.46088579297065735
20673,0.5337657928466797
19395,0.5339764952659607
28493,0.47486069798469543
22733,0.5181442499160767
11340,0.4875299334526062
1122,0.49032530188560486
27771,0.5237565040588379
28781,0.5187742710113525
22807,0.521442711353302
